,ListA_field1,ListA_field2,ListA_field3,ListB_field4,ListB_field5,ListB_field6,ListC_field7,ListC_field8,ListC_field9,ListD_field10,ListD_field11,ListD_field12,ListE_field13,ListE_field14,ListE_field15
2023-12-19 22:00:00+00:00,0,0.000492449,0.002496639,0.129668553,0,,0,0,0.039495642,0.003410641,0.028511822,0,0.003683241,0.009819022,0
2023-12-19 23:00:00+00:00,0,0,0.011009604,0.112052368,0,0,0.000271518,0,0.076708807,0.001711352,0.015980823,0,0.043621013,0.011150758,0.000234522
2023-12-20 00:00:00+00:00,0,0.00042123,0.004813478,0.141174039,0,0,0.000318573,0,0.088517956,0.004819277,0.018268813,0,0.009387352,0.011976048,0
2023-12-20 01:00:00+00:00,0,0,0.012962696,0.125719855,0,0,0,0.000241838,0.046497015,0.002717391,0.012920139,0,0.003362886,0.015329125,0.000407623
2023-12-20 02:00:00+00:00,8.11E-05,0.000166834,0.013736264,0.139334955,0,0,0,0,0.073632162,0.003018412,0.014291901,0.000154416,0.008486431,0.026318594,0
2023-12-20 03:00:00+00:00,0.00038088,0,0.009653674,0.151590173,0,0,0.000114364,0,0.052069146,0.001761726,0.013790533,0,0.005050505,0.018829926,9.53E-05
2023-12-20 04:00:00+00:00,0.000165399,0.000503229,0.005840127,0.153655309,0,0,0.000112423,0,0.059702905,0.01937046,0.032484786,0,0.003254017,0.022117893,0.000101688
2023-12-20 05:00:00+00:00,0.000110072,0,0.004084312,0.122729774,0,0,0.000160192,0,0.034682081,0.001323229,0.020628684,0.000375563,0.011477317,0.034320062,0.000310198
2023-12-20 06:00:00+00:00,0.000285053,0.000251536,0.008801095,0.113415286,0,0.083333333,0.005065717,0,0.043921724,0.002374008,0.019408073,0,0.015017034,0.066164755,8.97E-05
2023-12-20 07:00:00+00:00,0.000227929,7.65E-05,0.016032594,0.174251633,0,0.013888889,0.019754147,0,0.057233776,0.00143859,0.022222222,0,0.019446788,0.12129244,0.001065577
2023-12-20 08:00:00+00:00,0.000646041,0.00021599,0.016123982,0.127736702,0,0,5.51E-05,9.09E-05,0.044663425,0.004881521,0.023452192,7.30E-05,0.003574386,0.236869166,0.000435901
2023-12-20 09:00:00+00:00,0.000539724,0.000331773,0.014353539,0.15511658,0,0,5.53E-05,0.000194894,0.067455083,0.002723312,0.030022547,8.01E-05,0.003848092,0.098296982,0.00146594
2023-12-20 10:00:00+00:00,0.000696864,0.000712251,0.015666385,0.158371539,0,0,0,0.00031211,0.057608595,0.002735165,0.035230775,0,0.004736447,0.108628997,0.00135997
2023-12-20 11:00:00+00:00,0.000269215,0.000176979,0.015557618,0.173206353,0,0,0.000210018,8.97E-05,0.064572926,0.004432133,0.0287891,0,0.004463299,0.059464054,0.000486102
2023-12-20 12:00:00+00:00,0.001805229,0.00033484,0.025535055,0.17549402,0,0.25,0.000253229,0.000254539,0.068482616,0.002394949,0.029683332,0,0.005330036,0.034521917,0.004562511
2023-12-20 13:00:00+00:00,0.000207132,0.000247998,0.015801354,0.158525218,0,0,5.53E-05,9.96E-05,0.057287241,0.005682505,0.030695253,6.50E-05,0.00661786,0.027838343,0.000785871
2023-12-20 14:00:00+00:00,0.000157769,0.000129955,0.012792695,0.123816736,0,0.052631579,0,0.000213333,0.04714895,0.00180681,0.02098338,6.09E-05,0.002443793,0.020282017,0.000676743
2023-12-20 15:00:00+00:00,0.00016756,8.59E-05,0.007602373,0.105730563,0,0.214285714,6.75E-05,0.000220507,0.040229562,0.002012612,0.014785609,0.000403063,0.003126103,0.018968134,0.000907578
2023-12-20 16:00:00+00:00,6.06E-05,0.000242645,0.009891622,0.118829871,0,0,0,0,0.062834429,0.003265128,0.017172369,0,0.003303886,0.026403642,0.000215471
2023-12-20 17:00:00+00:00,0,0,0.006808235,0.104817627,0,,0,0,0.095575654,0.002821793,0.012267227,0,0.002217554,0.008250215,5.84E-05
2023-12-20 18:00:00+00:00,0,0.000257202,0.002397363,0.082993813,0,0,0,0,0.032557268,0.003454231,0.008214364,7.16E-05,0.001421888,0.00587328,0
2023-12-20 19:00:00+00:00,0,9.25E-05,0.006661732,0.156810036,0,0,0,0,0.029164497,0.003036437,0.010827533,0,0.001476233,0.006683375,0
2023-12-20 20:00:00+00:00,0,0.000240558,0.003401843,0.135859301,0,0,0,0,0.03570334,0.004889976,0.018292683,0.000211149,0.003639927,0.003677552,0
2023-12-20 21:00:00+00:00,0,0.000397931,0.004907975,0.100869905,0,,0,0,0.030118404,0.004104669,0.015656194,0,0.001643655,0.007656583,0
2023-12-20 22:00:00+00:00,0,0,0.002564103,0.132756675,0,,0,0,0.047184509,0.006403941,0.010774548,0,0.018693644,0.013895216,0
2023-12-20 23:00:00+00:00,0,0.001284522,0.008926417,0.117458964,0,,0,0,0.040164529,0.003496503,0.023697742,0,0.005138746,0.015533981,0.001027749
2023-12-21 00:00:00+00:00,0,0.000206911,0.010653614,0.165961732,0,0,0,0,0.083850161,0.002248454,0.018407534,0,0.008492569,0.016361416,0
2023-12-21 01:00:00+00:00,0,0,0.013344656,0.124704492,0,0,0.000125786,0,0.048017621,0.003223207,0.012139605,0,0.002515372,0.013569125,0.000372648
2023-12-21 02:00:00+00:00,9.07E-05,0.000190367,0.005455963,0.135279717,0,,0.00026571,0,0.072112676,0.004286939,0.020610462,0,0.006465517,0.011024008,0.000102627
2023-12-21 03:00:00+00:00,9.13E-05,0.000379363,0.015123948,0.153347338,0,,0,0,0.048897599,0.00272056,0.01661906,0,0.002841169,0.020522208,0
2023-12-21 04:00:00+00:00,7.63E-05,0.000155994,0.001464129,0.134274809,0,0.5,0,0,0.060268262,0.018588183,0.027507824,0,0.002167562,0.030997959,0
2023-12-21 05:00:00+00:00,0.000503187,0.000339501,0.006955287,0.097730068,0,0.5,0.00021909,0,0.034487107,0.000565931,0.016067777,0,0.005506424,0.041818869,0.000333723
2023-12-21 06:00:00+00:00,0.000242988,0.00010449,0.007558243,0.100527631,0,0,0.000189206,6.26E-05,0.035645472,0.002652168,0.020463847,5.97E-05,0.012071683,0.106897755,0.002074172
2023-12-21 07:00:00+00:00,0.000222923,0.000159903,0.013540473,0.098722971,0,0,0,0,0.035851952,0.000909473,0.020057772,0,0.009386687,0.15626996,0.000486163
2023-12-21 08:00:00+00:00,0.000471046,0.000220806,0.007336616,0.106801909,0,0.170212766,0,0,0.04862219,0.00326685,0.023115681,0.000130514,0.015857566,0.194395188,0.002311717
2023-12-21 09:00:00+00:00,0.000243877,0.000527575,0.010076875,0.141971223,0,0.125,0.000159676,9.15E-05,0.085664186,0.001899135,0.026105169,0,0.003864225,0.14158648,0.000614763
2023-12-21 10:00:00+00:00,0.000788304,0.000505744,0.014732866,0.174537767,0,0,0.008805662,0,0.099828262,0.002997776,0.037216949,0,0.012658796,0.151024064,0.001795574
2023-12-21 11:00:00+00:00,0.000242947,0.000401805,0.0213311,0.168635549,0,0.166666667,4.40E-05,0,0.057816314,0.004011142,0.032108032,0,0.003384355,0.133801214,0.000576879
2023-12-21 12:00:00+00:00,0.000634697,0.000584048,0.026935133,0.186318759,0,0,0.000512295,0.000188947,0.067616453,0.0036038,0.033897011,0,0.006364889,0.068041151,0.004939914
2023-12-21 13:00:00+00:00,9.90E-05,0.000277316,0.015610652,0.148888449,0,0,5.39E-05,0.000591075,0.056052874,0.004496294,0.023665942,6.46E-05,0.005498475,0.043645305,0.000642158
2023-12-21 14:00:00+00:00,0.000343085,6.36E-05,0.018127022,0.126879172,0,0,0.000292213,0,0.048415322,0.002692308,0.018050419,0,0.003949447,0.057523636,0.000977958
2023-12-21 15:00:00+00:00,0,0.000139919,0.013849688,0.113011715,0,0,0.000451331,0.000263783,0.048945966,0.006481815,0.023078788,0,0.0040189,0.035360927,0.000814642
2023-12-21 16:00:00+00:00,0.000184991,0.000192938,0.009413854,0.127458839,0,,0.000205761,0,0.08204098,0.007361672,0.018986486,0.000135428,0.002752157,0.035697135,0.00029753
2023-12-21 17:00:00+00:00,0,6.27E-05,0.024012393,0.124444719,0,,0,0.000411607,0.061287448,0.012124407,0.012570173,0,0.00324823,0.037157712,0.000259858
2023-12-21 18:00:00+00:00,5.21E-05,0,0.006831903,0.071819176,0,,0,0,0.036584636,0.004654493,0.007511737,0,0.002233324,0.00917507,0
2023-12-21 19:00:00+00:00,0,0.000359669,0.008600237,0.173216549,0,0,0,0,0.024845153,0.005097312,0.010942926,0,0.001357681,0.005947324,0
2023-12-21 20:00:00+00:00,0,0.000137165,0.003716871,0.086308742,0,,7.56E-05,0,0.025606469,0.004700353,0.010627908,0,0.002447615,0.002358491,0
2023-12-21 21:00:00+00:00,0,5.81E-05,0.002901012,0.075506952,0,0,0,0,0.027123599,0.0042337,0.0137781,0,0.002446562,0.005636979,0
2023-12-21 22:00:00+00:00,0,0.00081367,0.002521538,0.112807328,0,0,0,0,0.027006023,0.005332041,0.020112915,0,0.004197482,0.016449477,0
2023-12-21 23:00:00+00:00,0,0.00040992,0.007949892,0.104052128,0,,0,0.001870324,0.064864865,0.003795066,0.024867163,0,0.058204769,0.008622699,0
2023-12-22 00:00:00+00:00,0,0.000526131,0.002047316,0.133540373,0,0,0,0,0.034963622,0.002713704,0.018823951,0,0.006129398,0.008754864,0
2023-12-22 01:00:00+00:00,0,0,0.015805705,0.129126297,0,0,0,0.000461787,0.059341826,0.001763668,0.008794995,0,0.006162141,0.015881419,9.63E-05
2023-12-22 02:00:00+00:00,0.00020858,0.000217865,0.00871506,0.113606341,0,0,0,0,0.058013585,0.002236511,0.017338437,0,0.008953779,0.02482235,0.000161329
2023-12-22 03:00:00+00:00,0,7.54E-05,0.01335842,0.165170689,0,0,0,0,0.041774194,0.001714678,0.010184015,0,0.005830032,0.023515533,7.47E-05
2023-12-22 04:00:00+00:00,0,0.000144519,0.004249432,0.103078024,0,0,0,0,0.052593946,0.010001563,0.016972917,0,0.006091472,0.022627672,9.99E-05
2023-12-22 05:00:00+00:00,4.39E-05,4.55E-05,0.002781319,0.084135143,0,0,0.000124743,8.00E-05,0.028180907,0.001618674,0.012493183,0,0.006171331,0.035294118,0.000305511
2023-12-22 06:00:00+00:00,0.000310182,0.000216726,0.007975142,0.076950914,0,0.076923077,0.000148478,0.000287329,0.025316046,0.001685057,0.018996426,0,0.008152078,0.040326382,0.001194701
2023-12-22 07:00:00+00:00,0.000257659,0.000183112,0.014028499,0.081059493,0,0,3.80E-05,0,0.032387598,0.001986492,0.018185844,0,0.002911302,0.040555446,0.006501909
2023-12-22 08:00:00+00:00,8.48E-05,5.87E-05,0.009976549,0.095067239,0,0,4.90E-05,0,0.039097624,0.002956167,0.014332465,0,0.003274913,0.043727258,0.005614136
2023-12-22 09:00:00+00:00,0.000210754,0.00029976,0.010032103,0.103295661,0,0,4.05E-05,6.72E-05,0.045468821,0.002989154,0.02808892,0,0.005456072,0.028829934,0.002238388
2023-12-22 10:00:00+00:00,0.000290055,0.000258551,0.015239877,0.115659331,0,0,0.000285339,0,0.043661017,0.002655889,0.022996593,8.16E-05,0.004744958,0.045950603,0.002189981
2023-12-22 11:00:00+00:00,0.000405738,0.000177846,0.013943112,0.116041153,0,0,8.87E-05,0,0.048930921,0.002107297,0.022558943,0.000120351,0.002766619,0.036508882,0.001857045
2023-12-22 12:00:00+00:00,0.000868083,0.000361402,0.025729993,0.133299039,0,0.090909091,0.000585542,0,0.05218503,0.002633807,0.027638022,0,0.003767804,0.038942536,0.00587943
